Date,Price,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,L_Ball,Sum
May 24 2023,"365,000",1,25,26,46,47,18,163
May 23 2023,"365,000",16,22,24,26,27,8,123
May 22 2023,"365,000",17,25,37,40,41,1,161
May 21 2023,"365,000",9,11,18,22,27,9,96
May 20 2023,"365,000",13,23,30,34,39,13,152
May 19 2023,"365,000",1,10,28,30,40,16,125
May 18 2023,"365,000",10,16,23,36,38,1,124
May 17 2023,"365,000",15,22,28,29,41,6,141
May 16 2023,"365,000",1,14,18,23,34,6,96
May 15 2023,"365,000",1,13,17,34,41,11,117
May 14 2023,"365,000",5,10,28,45,48,8,144
May 13 2023,"365,000",10,12,16,23,32,2,95
May 12 2023,"365,000",1,2,13,24,35,14,89
May 11 2023,"365,000",10,16,34,40,47,5,152
May 10 2023,"365,000",8,9,35,37,40,14,143
May 9 2023,"365,000",6,12,15,41,46,8,128
May 8 2023,"365,000",3,15,31,33,44,14,140
May 7 2023,"365,000",3,6,7,19,42,2,79
May 6 2023,"365,000",24,32,35,38,42,2,173
May 5 2023,"365,000",6,9,28,37,39,3,122
May 4 2023,"365,000",8,9,13,19,43,17,109
May 3 2023,"365,000",4,8,12,36,46,13,119
May 2 2023,"365,000",29,30,34,46,48,12,199
May 1 2023,"365,000",7,10,14,16,26,2,75
April 30 2023,"365,000",8,11,30,37,47,13,146
April 29 2023,"365,000",17,19,34,36,37,8,151
April 28 2023,"365,000",9,31,32,34,47,15,168
April 27 2023,"365,000",6,11,12,34,42,9,114
April 26 2023,"365,000",20,26,28,38,43,12,167
April 25 2023,"365,000",17,28,33,40,42,15,175
April 24 2023,"365,000",17,18,21,25,42,13,136
April 23 2023,"365,000",16,21,31,33,36,12,149
April 22 2023,"365,000",5,18,38,41,45,13,160
April 21 2023,"365,000",4,7,8,25,29,2,75
April 20 2023,"365,000",1,5,18,33,48,9,114
April 19 2023,"365,000",2,3,18,23,31,10,87
April 18 2023,"365,000",15,19,22,23,34,10,123
April 17 2023,"365,000",3,6,12,38,46,12,117
April 16 2023,"365,000",6,21,29,34,47,18,155
April 15 2023,"365,000",6,10,22,23,33,16,110
April 14 2023,"365,000",3,15,38,40,44,3,143
April 13 2023,"365,000",4,11,19,28,37,12,111
April 12 2023,"365,000",12,17,21,31,46,1,128
April 11 2023,"365,000",1,5,9,33,47,16,111
April 10 2023,"365,000",3,5,6,17,21,18,70
April 9 2023,"365,000",12,15,28,35,37,7,134
April 8 2023,"365,000",1,16,18,20,41,5,101
April 7 2023,"365,000",21,25,31,42,48,11,178
April 6 2023,"365,000",3,10,17,33,36,6,105
April 5 2023,"365,000",6,13,17,25,33,15,109
April 4 2023,"365,000",10,13,20,22,25,8,98
April 3 2023,"365,000",2,13,21,45,46,16,143
April 2 2023,"365,000",3,6,18,22,40,5,94
April 1 2023,"365,000",1,12,25,39,45,3,125
March 31 2023,"365,000",16,19,28,31,34,4,132
March 30 2023,"365,000",10,27,34,36,48,13,168
March 29 2023,"365,000",17,22,29,30,47,15,160
March 28 2023,"365,000",7,9,16,28,30,5,95
March 27 2023,"365,000",13,24,26,36,47,5,151
March 26 2023,"365,000",20,30,33,40,47,13,183
March 25 2023,"365,000",9,11,20,22,48,14,124
March 24 2023,"365,000",1,8,30,31,43,17,130
March 23 2023,"365,000",3,7,24,26,48,12,120
March 22 2023,"365,000",7,19,30,33,44,18,151
March 21 2023,"365,000",7,25,36,38,43,3,152
March 20 2023,"365,000",1,6,12,31,38,7,95
March 19 2023,"365,000",23,27,30,37,47,3,167
March 18 2023,"365,000",8,18,19,29,41,4,119
March 17 2023,"365,000",26,29,35,39,48,5,182
March 16 2023,"365,000",5,22,28,34,45,7,141
March 15 2023,"365,000",16,20,21,39,40,15,151
March 14 2023,"365,000",2,3,14,18,47,4,88
March 13 2023,"365,000",3,9,20,27,37,15,111
March 12 2023,"365,000",9,27,32,37,43,1,149
March 11 2023,"365,000",3,7,10,28,35,17,100
March 10 2023,"365,000",11,14,24,29,43,6,127
March 9 2023,"365,000",28,39,43,44,47,18,219
March 8 2023,"365,000",1,16,31,36,44,5,133
March 7 2023,"365,000",10,28,30,37,38,1,144
March 6 2023,"365,000",3,7,24,25,28,4,91
March 5 2023,"365,000",1,7,10,25,43,11,97
March 4 2023,"7,300,000",4,7,15,17,30,5,78
March 3 2023,"365,000",9,12,35,37,44,15,152
March 2 2023,"365,000",10,13,33,40,47,15,158
March 1 2023,"365,000",6,11,19,35,46,7,124
February 28 2023,"365,000",1,20,32,41,44,14,152
February 27 2023,"365,000",2,3,17,38,40,8,108
February 26 2023,"365,000",5,9,18,35,38,9,114
February 25 2023,"365,000",26,28,38,42,46,1,181
February 24 2023,"365,000",17,22,24,30,44,5,142
February 23 2023,"7,300,000",1,7,20,21,38,15,102
